"Team","Point Spread Rating Points","Point Spread Rating QB","Strength of Schedule To Date","Strength of Schedule Remaining","Projections Avg. Wins","Projections Make Playoffs","Projections Win Division Title","Projections Win Conf Champ","Projections Win Super Bowl"
"BUF","6.5651467","7","31","26","13.4142","97.71","91.25999999999999","33.08","19.66"
"PHI","6.0861369","4","6","8","12.5419","91.8","80.55","24.5","12.4"
"KC","5.3220231","6.5","4","15","10.6345","79.63","38.269999999999996","17.59","10.24"
"DET","5.0310355","3.5","7","2","11.0512","74.53","42.3","14.16","6.67"
"GB","5.0111395","4.5","18","12","11.0785","76.89","42.95","14.62","7.08"
"LA","3.5197149","5","11","16","10.9677","71.83","39.54","10.97","4.88"
"LAC","2.8881023","6","16","18","10.7996","82","45.36","12.32","6.75"
"SF","2.4818336","3.5","29","27","10.8048","72.46000000000001","36.620000000000005","9.29","4.15"
"WAS","1.902325","4.5","21","3","8.7466","39.28","15.49","4.6","2.02"
"TB","1.5653281","3.5","17","28","10.4412","74.87","67.9","7.08","2.69"
"DEN","1.4316444","2","22","9","8.7853","48.85","14.02","5.54","2.8400000000000003"
"SEA","0.8934102","3","28","19","9.8415","54.059999999999995","18.98","4.88","1.97"
"JAX","0.6385223","4","15","25","10.0951","69.78","49.53","7.01","3.18"
"MIN","0.5825549","1","19","1","8.115","28.71","9.81","3.0300000000000002","1.23"
"PIT","0.2513995","3","27","5","9.9338","72.27","58.45","6.74","3.4099999999999997"
"IND","-0.2468726","2","20","17","9.4876","63.980000000000004","38.41","5.45","2.58"
"HST","-0.2646238","4","24","4","7.2278","29.99","11.469999999999999","3","1.5599999999999998"
"ATL","-0.5344474","1.5","14","30","8.7481","42.77","23.09","2.76","1.0999999999999999"
"CHI","-1.0631875","2","13","6","7.8599","21.099999999999998","4.9399999999999995","1.29","0.47000000000000003"
"ARZ","-1.3114139","4","32","13","7.7229","21.64","4.859999999999999","1.4000000000000001","0.52"
"NE","-2.2474267","3","30","31","8.4615","40.050000000000004","7.2700000000000005","1.7500000000000002","0.7100000000000001"
"DAL","-2.5116501","5","8","11","6.6281","11.14","2.68","0.65","0.19"
"LV","-2.6280758","4","12","14","6.4199","16.37","2.35","1.09","0.5"
"BLT","-2.7068345","0","2","23","7.5357","34.72","21.17","2.32","1.1400000000000001"
"MIA","-3.2483873","2.5","23","24","6.6168","15.840000000000002","1.17","0.8","0.36"
"NYG","-3.8937914","1","3","7","5.509","4.9799999999999995","1.28","0.22","0.04"
"CAR","-4.2611847","1.5","25","21","6.1451","12.04","7.539999999999999","0.5","0.16"
"CIN","-4.6442804","1.5","26","10","7.358","28.57","15.18","2.46","1.15"
"NYJ","-5.153382","2","9","29","5.387","7.06","0.3","0.33999999999999997","0.13999999999999999"
"CLV","-5.1729572","0","1","22","5.884","11.21","5.2","0.44999999999999996","0.16"
"TEN","-7.3031214","1.5","10","20","3.8957","1.97","0.59","0.06","0.04"
"NO","-8.7751486","1","5","32","3.862","1.9","1.47","0.05","0.01"